"","variable_id","ms2_files_id","ms2_spectrum_id","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database","Level","Ben.Oli.20230331.01","Ben.Oli.20230331.02","Ben.Oli.20230331.03","Ben.Oli.20230331.04","Ben.Oli.20230331.05","Ben.Oli.20230331.06","Ben.Oli.20230331.07","Ben.Oli.20230331.08","Ben.Oli.20230331.09","Ben.Oli.20230331.10","Ben.Oli.20230331.11","Ben.Oli.20230331.12","Ben.Oli.20230331.13","Ben.Oli.20230331.14","Ben.Oli.20230331.15","Ben.Oli.20230331.16","Ben.Oli.20230331.17","Ben.Oli.20230331.18","Ben.Oli.20230331.19","Ben.Oli.20230331.20","Ben.Oli.20230331.21","Ben.Oli.20230331.22","Ben.Oli.20230331.23","Ben.Oli.20230331.24","Ben.Oli.20230331.25","Ben.Oli.20230331.26"
"1","M102T478_NEG",NA,NA,"3-aci-Nitropropanoate",NA,NA,"C03071","C03071","(M+H-H2O)+",1.84057482954358,0.997293496639668,NA,NA,NA,0,0.997293496639668,"kegg_database",1,1571131.73550112,1043432.65526191,1518857.23970966,2367718.50129211,1042356.04514242,642422.029364416,1684442.56975145,925136.567934733,3813810.7251928,2863999.90039177,8766763.68331593,6754099.87603295,2460566.32121729,4135765.40892186,3302599.07821835,4502906.88794406,3473939.48043135,6251712.68403317,4568655.75160355,2740946.33138767,3820885.58375827,1311472.90869193,1821664.69227509,1633204.37515176,2508870.95196178,1336146.87388542
"2","M102T478_NEG",NA,NA,"Aminomalonate","1068-84-4",NA,"C00872","C00872","(M+H-H2O)+",1.84057482954358,0.997293496639668,NA,NA,NA,0,0.997293496639668,"kegg_database",1,1571131.73550112,1043432.65526191,1518857.23970966,2367718.50129211,1042356.04514242,642422.029364416,1684442.56975145,925136.567934733,3813810.7251928,2863999.90039177,8766763.68331593,6754099.87603295,2460566.32121729,4135765.40892186,3302599.07821835,4502906.88794406,3473939.48043135,6251712.68403317,4568655.75160355,2740946.33138767,3820885.58375827,1311472.90869193,1821664.69227509,1633204.37515176,2508870.95196178,1336146.87388542
"3","M102T478_NEG",NA,NA,"Bovinocidin","504-88-1","HMDB34259",NA,"FDB012579","(M+H-H2O)+",1.94644232955454,0.996973678377456,NA,NA,NA,0,0.996973678377456,"foodb_database",10,1571131.73550112,1043432.65526191,1518857.23970966,2367718.50129211,1042356.04514242,642422.029364416,1684442.56975145,925136.567934733,3813810.7251928,2863999.90039177,8766763.68331593,6754099.87603295,2460566.32121729,4135765.40892186,3302599.07821835,4502906.88794406,3473939.48043135,6251712.68403317,4568655.75160355,2740946.33138767,3820885.58375827,1311472.90869193,1821664.69227509,1633204.37515176,2508870.95196178,1336146.87388542
"4","M102T478_NEG",NA,NA,"beta-Nitropropanoate","504-88-1",NA,"C05669","C05669","(M+H-H2O)+",1.84057482954358,0.997293496639668,NA,NA,NA,0,0.997293496639668,"kegg_database",1,1571131.73550112,1043432.65526191,1518857.23970966,2367718.50129211,1042356.04514242,642422.029364416,1684442.56975145,925136.567934733,3813810.7251928,2863999.90039177,8766763.68331593,6754099.87603295,2460566.32121729,4135765.40892186,3302599.07821835,4502906.88794406,3473939.48043135,6251712.68403317,4568655.75160355,2740946.33138767,3820885.58375827,1311472.90869193,1821664.69227509,1633204.37515176,2508870.95196178,1336146.87388542
"5","M102T478_NEG",NA,NA,"Ammonium bicarbonate","1066-33-7","HMDB36969",NA,"FDB015940","(M+Na)+",7.73299732955479,0.953286874411038,NA,NA,NA,0,0.953286874411038,"foodb_database",10,1571131.73550112,1043432.65526191,1518857.23970966,2367718.50129211,1042356.04514242,642422.029364416,1684442.56975145,925136.567934733,3813810.7251928,2863999.90039177,8766763.68331593,6754099.87603295,2460566.32121729,4135765.40892186,3302599.07821835,4502906.88794406,3473939.48043135,6251712.68403317,4568655.75160355,2740946.33138767,3820885.58375827,1311472.90869193,1821664.69227509,1633204.37515176,2508870.95196178,1336146.87388542
"6","M102T478_NEG",NA,NA,"Aminomalonic acid","1068-84-4","HMDB01147",NA,"FDB022451","(M+H-H2O)+",1.94644232955454,0.996973678377456,NA,NA,NA,0,0.996973678377456,"foodb_database",10,1571131.73550112,1043432.65526191,1518857.23970966,2367718.50129211,1042356.04514242,642422.029364416,1684442.56975145,925136.567934733,3813810.7251928,2863999.90039177,8766763.68331593,6754099.87603295,2460566.32121729,4135765.40892186,3302599.07821835,4502906.88794406,3473939.48043135,6251712.68403317,4568655.75160355,2740946.33138767,3820885.58375827,1311472.90869193,1821664.69227509,1633204.37515176,2508870.95196178,1336146.87388542
"7","M103T299_NEG",NA,NA,"3-Ethyl-2-methoxypyrazine","25680-58-4","HMDB40054",NA,"FDB019741","(M+H-2H2O)+",1.60237724049495,0.997948017942982,NA,NA,NA,0,0.997948017942982,"foodb_database",10,4785719.41113854,10540190.106018,9856061.78053295,3804003.62395273,7641408.19916386,7236321.28187319,2596843.35625386,3990341.91874964,2302710.98131662,487805.611253206,3818320.73060657,3917055.66469213,407490.800294311,3718647.85902846,7284485.20120762,2766691.54378211,3445836.26628237,2128758.85693159,2198624.67213471,753177.771672529,583665.363139267,3167299.31626428,3731065.3845229,3776103.01733194,2711350.35891295,2556460.06273393
"8","M103T299_NEG",NA,NA,"2,4-Diaminoanisole","615-05-4",NA,"C19218","C19218","(M+H-2H2O)+",1.56999724044482,0.998030029875255,NA,NA,NA,0,0.998030029875255,"kegg_database",1,4785719.41113854,10540190.106018,9856061.78053295,3804003.62395273,7641408.19916386,7236321.28187319,2596843.35625386,3990341.91874964,2302710.98131662,487805.611253206,3818320.73060657,3917055.66469213,407490.800294311,3718647.85902846,7284485.20120762,2766691.54378211,3445836.26628237,2128758.85693159,2198624.67213471,753177.771672529,583665.363139267,3167299.31626428,3731065.3845229,3776103.01733194,2711350.35891295,2556460.06273393
"9","M103T299_NEG",NA,NA,"1-Methyl-1,6-dihydropyridine-2-carbaldoxime","57619-23-5",NA,"C11765","C11765","(M+H-2H2O)+",1.56999724044482,0.998030029875255,NA,NA,NA,0,0.998030029875255,"kegg_database",1,4785719.41113854,10540190.106018,9856061.78053295,3804003.62395273,7641408.19916386,7236321.28187319,2596843.35625386,3990341.91874964,2302710.98131662,487805.611253206,3818320.73060657,3917055.66469213,407490.800294311,3718647.85902846,7284485.20120762,2766691.54378211,3445836.26628237,2128758.85693159,2198624.67213471,753177.771672529,583665.363139267,3167299.31626428,3731065.3845229,3776103.01733194,2711350.35891295,2556460.06273393
"10","M103T299_NEG",NA,NA,"3-methoxy-2,5-dimethylpyrazine","19846-22-1",NA,NA,"FDB029668","(M+H-2H2O)+",1.60237224047677,0.997948030735722,NA,NA,NA,0,0.997948030735722,"foodb_database",10,4785719.41113854,10540190.106018,9856061.78053295,3804003.62395273,7641408.19916386,7236321.28187319,2596843.35625386,3990341.91874964,2302710.98131662,487805.611253206,3818320.73060657,3917055.66469213,407490.800294311,3718647.85902846,7284485.20120762,2766691.54378211,3445836.26628237,2128758.85693159,2198624.67213471,753177.771672529,583665.363139267,3167299.31626428,3731065.3845229,3776103.01733194,2711350.35891295,2556460.06273393
