formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C12H28N4O	[M + H]+	C12H29N4O+	Alkaloids	1.000	Ornithine alkaloids	1.000	Polyamines	1.000	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.993	Amino acids and derivatives	0.993	Amino acids and derivatives	0.993	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Amines; Primary amines; Secondary amines; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	245.233	141	2.348	731529214524429667	731529082022168951	731529082022168951_UNKNOWN_M245T140_POS	
1	C12H28N4O	[M + H]+	C12H29N4O+	Alkaloids	1.000	Ornithine alkaloids	1.000	Polyamines	1.000	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.994	Amino acids, peptides, and analogues	0.993	Amino acids and derivatives	0.993	Amino acids and derivatives	0.993	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Dialkylamines; Amines; Primary amines; Secondary amines; Acetamides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	245.233	141	2.348	731529228306912975	731529081992808819	731529081992808819_UNKNOWN_M245T185_POS	
1	C6H7NO	[M + H]+	C6H8NO+	Alkaloids	0.758	Nicotinic acid alkaloids	0.679	Pyridine alkaloids	0.680	Organic oxygen compounds	0.990	Organooxygen compounds	0.960	Carbonyl compounds	0.632			Carbonyl compounds	0.632	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	110.060	147	2.456	731529139593186286	731529073855858307	731529073855858307_UNKNOWN_M110T209_POS	
1	C38H64O5	[M + H]+	C38H65O5+	Fatty acids	1.000	Glycerolipids	1.000	Diacylglycerols	1.000	Lipids and lipid-like molecules	0.997	Fatty Acyls	0.992	Lineolic acids and derivatives	0.567			Lineolic acids and derivatives	0.567	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Lineolic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; 1,2-diacylglycerols; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	601.481	155	2.583	731529228067837632	731529084953987779	731529084953987779_UNKNOWN_M601T171_POS	
1	C30H41N3O3	[M + H]+	C30H42N3O3+	Alkaloids	0.268	Anthranilic acid alkaloids	0.068	Chalcones	0.073	Benzenoids	0.997	Benzene and substituted derivatives	0.975	Phenylpropanes	0.905			Phenylpropanes	0.905	Organic compounds; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	492.323	156	2.606	731529139098258351	731529084828158643	731529084828158643_UNKNOWN_M492T160_POS	
2	C30H47NO2	[M + K]+	C30H47KNO2+	Polyketides	0.123	Pseudoalkaloids (transamidation)	0.099	Phenylalanine-derived alkaloids	0.043	Benzenoids	0.997	Benzene and substituted derivatives	0.988	Phenylpropanes	0.952			Phenylpropanes	0.952	Organic compounds; Phenols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	492.323	156	2.606	731529139098258352	731529084828158643	731529084828158643_UNKNOWN_M492T160_POS	
3	C33H43NO	[M + Na]+	C33H43NNaO+	Shikimates and Phenylpropanoids	0.209	Flavonoids	0.265	Chalcones	0.441	Benzenoids	0.998	Benzene and substituted derivatives	0.950	Phenylpropanes	0.946			Phenylpropanes	0.946	Organic compounds; Phenols; Organonitrogen compounds; Organooxygen compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	492.323	156	2.606	731529139098258353	731529084828158643	731529084828158643_UNKNOWN_M492T160_POS	
1	C5H8N3	[M + H]+	C5H9N3+	Alkaloids	0.974	Nicotinic acid alkaloids	0.924	Pyridine alkaloids	0.925	Organoheterocyclic compounds	0.971	Heteroaromatic compounds	0.945					Heteroaromatic compounds	0.945	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	111.079	159	2.657	731529120316164898	731529073922967175	731529073922967175_UNKNOWN_M111T206_POS	
2	C7H10O	[M + H]+	C7H11O+	Fatty acids	0.924	Fatty acyls	0.915	Fatty aldehydes	0.858	Organic oxygen compounds	0.974	Organooxygen compounds	0.960	Carbonyl compounds	0.612			Carbonyl compounds	0.612	Organic compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	111.079	159	2.657	731529120316164899	731529073922967175	731529073922967175_UNKNOWN_M111T206_POS	
1	C19H30O3	[M + H]+	C19H31O3+	Terpenoids	0.954	Diterpenoids	0.649	Androstane steroids	0.035	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbonyl compounds	0.973	Ketones	0.858	Cyclohexenones	0.584	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities	307.226	160	2.662	731529247386802130	731529083444038167	731529083444038167_UNKNOWN_M307T186_POS	
