# Pathway	cat_cutrefo1-MmMm-USA-23-ATP-1873_S352_L005_Abundance	cat_cutrefo10-SbMm-USA-23-ATP-1873_S361_L005_Abundance	cat_cutrefo11-SbMm-USA-23-ATP-1873_S362_L005_Abundance	cat_cutrefo12-SbMm-USA-23-ATP-1873_S363_L005_Abundance	cat_cutrefo13-SbMm-USA-23-ATP-1873_S364_L005_Abundance	cat_cutrefo14-SbMm-USA-23-ATP-1873_S365_L005_Abundance	cat_cutrefo15-SbMm-USA-23-ATP-1873_S366_L005_Abundance	cat_cutrefo16-SbMm-USA-23-ATP-1873_S367_L005_Abundance	cat_cutrefo17-SbMm-USA-23-ATP-1873_S368_L005_Abundance	cat_cutrefo18-SbMm-USA-23-ATP-1873_S369_L005_Abundance	cat_cutrefo19-HsMm-USA-23-ATP-1873_S370_L005_Abundance	cat_cutrefo2-MmMm-USA-23-ATP-1873_S353_L005_Abundance	cat_cutrefo20-HsMm-USA-23-ATP-1873_S371_L005_Abundance	cat_cutrefo21-HsMm-USA-23-ATP-1873_S372_L005_Abundance	cat_cutrefo22-HsMm-USA-23-ATP-1873_S373_L005_Abundance	cat_cutrefo23-HsMm-USA-23-ATP-1873_S374_L005_Abundance	cat_cutrefo24-HsMm-USA-23-ATP-1873_S375_L005_Abundance	cat_cutrefo25-HsMm-USA-23-ATP-1873_S376_L005_Abundance	cat_cutrefo26-HsMm-USA-23-ATP-1873_S377_L005_Abundance	cat_cutrefo3-MmMm-USA-23-ATP-1873_S354_L005_Abundance	cat_cutrefo4-MmMm-USA-23-ATP-1873_S355_L005_Abundance	cat_cutrefo5-MmMm-USA-23-ATP-1873_S356_L005_Abundance	cat_cutrefo6-MmMm-USA-23-ATP-1873_S357_L005_Abundance	cat_cutrefo7-MmMm-USA-23-ATP-1873_S358_L005_Abundance	cat_cutrefo8-MmMm-USA-23-ATP-1873_S359_L005_Abundance	cat_cutrefo9-SbMm-USA-23-ATP-1873_S360_L005_Abundance
UNMAPPED	294747	381300	474574	604453	536824	511257	538245	634178	642458	564486	197197	281982	189809	212084	213582	211817	211877	219251	208374	312694	406862	404007	332866	244538	247918	545781
UNINTEGRATED	656278	575956	486516	371084	431530	459106	429038	337531	336293	407101	763551	668378	773063	747904	748234	748366	747120	738463	749199	643166	556883	562246	627623	704896	702369	423181
1CMET2-PWY: folate transformations III (E. coli)	588.77	670.074	397.174	259.555	328.36	356.728	347.461	249.394	279.527	338.519	369.216	579.581	323.461	363.033	381.908	383.372	394.568	399.582	407.331	529.465	461.703	397.647	480.687	568.565	549.101	411.448
ANAEROFRUCAT-PWY: homolactic fermentation	230.504	55.239	111.862	94.8056	117.422	88.1977	154.285	185.599	19.0962	80.7183	119.855	306.535	161.832	183.451	181.001	184.776	220.632	173.977	234.402	0	0	217.764	137.519	304.773	357.339	79.0484
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	356.32	247.87	282.127	340.533	376.881	332.255	390.625	414.014	309.193	353.846	368.58	383.557	371.215	399.857	344.013	396.185	424.502	364.538	425.71	225.61	202.325	228.641	165.947	337.373	428.157	188.848
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0	21.1728	42.5567	0	0	0	11.5956	8.83269	0	0	11.719	18.395	0	16.8301	9.59733	11.0638	8.97254	0	0	0	0	0	0	0	0	21.6852
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	511.662	610.309	376.803	256.644	295.272	320.85	275.983	218.8	244.299	327.935	320.879	483.034	262.53	271.01	329.884	322.521	215.528	232.994	328.65	496.223	311.2	309.004	455.754	508.428	433.314	388.055
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	180.81	243.049	292.432	172.454	337.952	318.024	368.19	363.268	185.124	298.672	130.678	269.654	139.176	147.995	125.293	110.18	188.376	245.113	151.556	0	0	161.261	0	252.687	281.759	230.946
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	138.788	295.442	319.783	143.297	320.159	296.202	349.186	340.995	163.034	265.919	148.889	233.568	127.037	197.548	100.553	109.415	174.756	211.657	125.842	0	69.3687	154.04	125.798	224.083	254.558	207.372
ARO-PWY: chorismate biosynthesis I	605.543	400.114	446.069	302.127	377.101	396.643	454.133	358.809	290.183	394.676	379.24	582.944	358.878	369.078	404.893	369.981	378.065	399.762	368.322	521.021	419.884	340.045	557.459	580.721	580.036	420.944
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	596.212	166.63	158.438	77.0699	103.097	160.503	175.018	138.345	68.0308	115.101	287.675	534.7	257.82	241.912	273.075	176.609	246.945	246.497	210.906	582.221	564.159	320.714	454.964	419.215	442.681	84.7542
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	4.94692	7.46527	0	0	0	0	0	0	0	262.766	0	223.215	243.634	254.074	202.481	211.16	205.499	225.91	0	0	0	0	0	0	8.37089
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	628.395	414.796	457.083	255.776	372.794	447.777	424.731	429.282	242.989	343.828	242.084	630.776	206.623	287.562	289.766	382.443	278.717	393.823	384.256	593.844	547.403	501.929	542.266	622.846	576.63	253.143
CALVIN-PWY: Calvin-Benson-Bassham cycle	13.5339	162.229	239.624	204.512	200.44	190.222	253.556	237.03	206.487	194.117	277.867	155.779	294.815	324.151	245.879	263.219	413.874	277.196	298.622	0	0	104.345	0	127.618	116.313	204.965
CENTFERM-PWY: pyruvate fermentation to butanoate	15.1211	19.1995	41.2245	0	12.3308	0	18.3382	13.229	0	43.4989	0	0	0	3.27773	0	0	0	2.97956	0	0	0	0	0	7.16143	9.21562	0
CITRULBIO-PWY: L-citrulline biosynthesis	55.1204	15.3793	20.6623	30.4323	19.018	12.237	36.6968	0	0	0	172.794	84.1797	157.28	175.698	132.693	97.2927	154.777	177.793	142.303	33.4156	0	83.2144	0	65.3025	95.3596	15.2038
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	530.607	630.792	486.731	309.702	342.973	409.975	416.63	327.288	249.926	378.327	359.053	537.742	325.447	350.328	375.608	376.267	355.248	385.524	399.396	520.974	400.838	183.33	471.877	507.1	505.645	412.409
