name,group,sample
s10,sqm,10-SbMm-USA-23-ATP-1873_S361_L005_report_bracken_species.txt
s11,sqm,11-SbMm-USA-23-ATP-1873_S362_L005_report_bracken_species.txt
s12,sqm,12-SbMm-USA-23-ATP-1873_S363_L005_report_bracken_species.txt
s13,sqm,13-SbMm-USA-23-ATP-1873_S364_L005_report_bracken_species.txt
s14,sqm,14-SbMm-USA-23-ATP-1873_S365_L005_report_bracken_species.txt
s15,sqm,15-SbMm-USA-23-ATP-1873_S366_L005_report_bracken_species.txt
s16,sqm,16-SbMm-USA-23-ATP-1873_S367_L005_report_bracken_species.txt
s17,sqm,17-SbMm-USA-23-ATP-1873_S368_L005_report_bracken_species.txt
s18,sqm,18-SbMm-USA-23-ATP-1873_S369_L005_report_bracken_species.txt
s19,hum,19-HsMm-USA-23-ATP-1873_S370_L005_report_bracken_species.txt
s1,mac,1-MmMm-USA-23-ATP-1873_S352_L005_report_bracken_species.txt
s20,hum,20-HsMm-USA-23-ATP-1873_S371_L005_report_bracken_species.txt
s21,hum,21-HsMm-USA-23-ATP-1873_S372_L005_report_bracken_species.txt
s22,hum,22-HsMm-USA-23-ATP-1873_S373_L005_report_bracken_species.txt
s23,hum,23-HsMm-USA-23-ATP-1873_S374_L005_report_bracken_species.txt
s24,hum,24-HsMm-USA-23-ATP-1873_S375_L005_report_bracken_species.txt
s25,hum,25-HsMm-USA-23-ATP-1873_S376_L005_report_bracken_species.txt
s26,hum,26-HsMm-USA-23-ATP-1873_S377_L005_report_bracken_species.txt
s2,mac,2-MmMm-USA-23-ATP-1873_S353_L005_report_bracken_species.txt
s3,mac,3-MmMm-USA-23-ATP-1873_S354_L005_report_bracken_species.txt
s4,mac,4-MmMm-USA-23-ATP-1873_S355_L005_report_bracken_species.txt
s5,mac,5-MmMm-USA-23-ATP-1873_S356_L005_report_bracken_species.txt
s6,mac,6-MmMm-USA-23-ATP-1873_S357_L005_report_bracken_species.txt
s7,mac,7-MmMm-USA-23-ATP-1873_S358_L005_report_bracken_species.txt
s8,mac,8-MmMm-USA-23-ATP-1873_S359_L005_report_bracken_species.txt
s9,sqm,9-SbMm-USA-23-ATP-1873_S360_L005_report_bracken_species.txt
