formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C5H13NO	[M + H]+	C5H14NO+	Fatty acids	0.731	Fatty amides	0.028	Sphingoid bases	0.265	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Quaternary ammonium salts	0.794			Quaternary ammonium salts	0.794	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Quaternary ammonium salts; 1,2-aminoalcohols; Amines; Alkanolamines; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	104.107	123	2.052	731532645419557550	731532488435139703	731532488435139703_UNKNOWN_M104T145_POS	
1	C7H14N2O2	[M + H]+	C7H15N2O2+	Amino acids and Peptides	0.954	Small peptides	0.972	Aminoacids	0.945	Organic acids and derivatives	0.872	Carboxylic acids and derivatives	0.868	Amino acids, peptides, and analogues	0.796	Amino acids and derivatives	0.795	Alpha amino acids and derivatives	0.648	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	159.113	133	2.221	731532543405690306	731532497331259519	731532497331259519_UNKNOWN_M159T148_POS	
1	C7H14N2O2	[M + H]+	C7H15N2O2+	Amino acids and Peptides	0.954	Small peptides	0.972	Aminoacids	0.945	Organic acids and derivatives	0.872	Carboxylic acids and derivatives	0.868	Amino acids, peptides, and analogues	0.796	Amino acids and derivatives	0.795	Alpha amino acids and derivatives	0.648	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	159.113	133	2.221	731532543393107391	731532497356425347	731532497356425347_UNKNOWN_M159T260_POS	
1	C9H21N3O	[M + H]+	C9H22N3O+	Alkaloids	0.943	Ornithine alkaloids	0.986	Polyamines	0.996	Organic acids and derivatives	0.957	Carboxylic acids and derivatives	0.940	Amino acids, peptides, and analogues	0.832	Amino acids and derivatives	0.831	Amino acids and derivatives	0.831	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	188.176	135	2.250	731532647327966056	731532499847842271	731532499847842271_UNKNOWN_M188T140_POS	
1	C4H9NO2	[M + H]+	C4H10NO2+	Amino acids and Peptides	0.985	Small peptides	0.990	Aminoacids	0.991	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.995	Amino acids, peptides, and analogues	0.952	Amino acids and derivatives	0.951	Alpha amino acids	0.654	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Organic salts; Organic oxides; Hydrocarbon derivatives; Amino acids; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	104.071	140	2.336	731532544655592927	731532488393196659	731532488393196659_UNKNOWN_M104T153_POS	
1	C7H19N3	[M + H]+	C7H20N3+	Alkaloids	1.000	Ornithine alkaloids	1.000	Polyamines	1.000	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	1.000	Secondary amines	0.972	Dialkylamines	0.966	Organic compounds; Organonitrogen compounds; Monoalkylamines; Dialkylamines; Amines; Primary amines; Secondary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	146.165	142	2.359	731532543489576392	731532495540291475	731532495540291475_UNKNOWN_M146T147_POS	
1	C3H7NO	[M + H]+	C3H8NO+	Alkaloids	0.493	Small peptides	0.135	Aminoacids	0.255	Organic nitrogen compounds	0.999	Organonitrogen compounds	0.995	Amines	0.596			Amines	0.596	Organic compounds; Organonitrogen compounds; Amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	74.060	144	2.393	731532611793820324	731532486052774823	731532486052774823_UNKNOWN_M74T126_POS	
3	C34H58O4P	[M + Na]+	C34H58NaO4P+	Terpenoids	0.770	Glycerophospholipids	0.411	Glycerophosphates	0.958	Organic acids and derivatives	0.996	Organic phosphoric acids and derivatives	0.991	Phosphate esters	0.988	Alkyl phosphates	0.965	Monoalkyl phosphates	0.941	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	584.397	168	2.799	731532546161348086	731532505069751483	731532505069751483_UNKNOWN_M584T167_2_POS	
3	C34H58O4P	[M + Na]+	C34H58NaO4P+	Terpenoids	0.770	Glycerophospholipids	0.411	Glycerophosphates	0.958	Organic acids and derivatives	0.996	Organic phosphoric acids and derivatives	0.991	Phosphate esters	0.988	Alkyl phosphates	0.965	Monoalkyl phosphates	0.941	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	584.397	168	2.799	731532627514072691	731532505040391351	731532505040391351_UNKNOWN_M584T177_POS	
1	C37H49N3O5	[M + K]+	C37H49KN3O5+	Alkaloids	0.330	Peptide alkaloids	0.083	Acridone alkaloids	0.143	Benzenoids	0.989	Benzene and substituted derivatives	0.924	Phenylpropanes	0.895			Phenylpropanes	0.895	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Ureas; Carboxylic acid derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Phenylpropanes; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	654.331	174	2.900	731532707071632533	731532505375935719	731532505375935719_UNKNOWN_M654T174_1_POS	
